minusLOG10p-value(G270E vs triple),Difference(G270E vs triple),Gene names

1.772799677,-0.358544668,ESYT2
1.720902462,-0.321264267,ILVBL
4.644822521,-0.405849457,ACO2
0.448031562,-0.280432383,ADD1
2.768489484,1.0062205,HLA-C
0.23002172,-0.231068293,NBAS
1.220885669,-0.508665721,VWA8
0.037825268,0.015602112,GTPBP10
2.225608885,2.975213369,SUN1
0.216721714,-0.156873067,MRPL42
1.205244961,0.357336044,RPSA
0.5623087,-0.215004603,PIGK
0.53574519,-0.378527323,ABI1
0.005771901,-0.00233078,ATP1B1
0.982920334,0.527673721,HN1L
0.526339462,0.117028554,YIF1A
0.172137438,0.146989187,PTGES2
0.684046854,-0.292256037,FBLL1
0.650289791,0.318684896,METTL15
0.161215417,0.144232432,MRPL23
0.33067688,0.317460378,NOC3L
0.156183932,-0.058188121,CNIH4
0.413663911,0.49196434,CD81
1.317223007,-0.19507726,PIP5K1A
0.972318972,-0.59856542,SELK
0.878254145,-0.415885925,MLLT4
0.421084958,-0.237815857,CDH2
1.767010532,0.425718307,MATR3
0.063120915,0.096100489,NUDT19
0.558104717,0.263173421,BCKDK
0.566908116,0.1786321,RAB34
1.058791725,0.154222488,SRRM1
0.024799535,-0.036497116,EIF3L
0.651586308,-0.30418841,EWSR1
0.767114442,-0.982297262,APOC3
0.410510285,-0.251607895,HMGCL
0.280682597,-0.256252925,OSBPL9
0.966829168,0.383633931,TMEM9
1.555766432,-0.325391134,LPHN2
1.719404755,1.051031113,SOAT1
0.416034241,0.072728475,EIF3H
0.047521632,-0.026021957,SNRPB
0.092913041,-0.042853673,PES1
0.84717203,0.605259577,AP1G1
1.957271417,-0.640799205,CLN6
1.858037511,0.371388117,LARS
0.226851678,-0.103621801,PUM1
0.834538757,-0.111291885,CANX
0.96372475,-0.832378387,CTNNB1
0.860924559,0.493005117,TAMM41
0.627109151,0.412549337,EXOC7
0.120128228,-0.040294011,RAB5A
2.470346935,-0.840758642,FDFT1
