minusLOG10p-valueSignificant(WT vs G270E),DifferenceSignificant(WT vs G270E),Gene names

4.241852492,-0.734710058,ESYT2
1.521347272,-0.322351456,ILVBL
0.201497611,0.060944239,ACO2
0.391824947,-0.241917928,ADD1
1.359809216,0.48761495,HLA-C
0.341126062,-0.26050504,NBAS
1.816088207,-0.46236674,VWA8
0.526656594,0.167346319,GTPBP10
1.702554936,2.086196264,SUN1
0.02639819,0.021497726,MRPL42
0.012645844,0.002680461,RPSA
2.148588152,-0.769826253,PIGK
0.20408132,-0.209789276,ABI1
0.403764128,0.128622055,ATP1B1
0.725068798,-0.197993596,HN1L
3.093741012,-0.671872457,YIF1A
0.118312232,0.089590708,PTGES2
0.418200985,0.193159103,FBLL1
0.314077462,0.159801483,METTL15
0.808218876,0.586619695,MRPL23
0.195209118,0.189685822,NOC3L
0.171462518,-0.094401677,CNIH4
0.2373352,0.310906092,CD81
0.229864398,-0.091426214,PIP5K1A
0.229779538,-0.05065155,SELK
2.703477935,-0.943436941,MLLT4
1.622570281,0.753288905,CDH2
2.080404699,0.558268865,MATR3
0.350985017,0.488505681,NUDT19
0.418429078,0.22592481,BCKDK
1.254121425,0.256609599,RAB34
0.692984023,0.157587051,SRRM1
0.307894859,0.242898305,EIF3L
0.056062289,-0.040833155,EWSR1
1.515834059,0.473147074,APOC3
1.361596454,0.45929273,HMGCL
0.302067204,0.274213155,OSBPL9
1.638164913,0.803499222,TMEM9
0.421508209,-0.289864858,LPHN2
0.430956852,-0.315130234,SOAT1
1.531033949,-0.220255534,EIF3H
0.8780598,0.225998561,SNRPB
1.136699206,-0.338951111,PES1
0.39526104,0.290281932,AP1G1
2.13615918,-0.436852773,CLN6
1.85712471,-0.424695969,LARS
0.672077769,-0.258862178,PUM1
0.952577032,-0.155696869,CANX
0.461453033,-0.416368484,CTNNB1
0.139900675,-0.083010356,TAMM41
1.173576932,-0.619647344,EXOC7
0.783596593,-0.321371078,RAB5A
0.605238603,-0.145946503,FDFT1
1.37076414,0.480440776,ISCA1
0.135742173,-0.151025772,SNRPD3
0.04606845,0.025107702,CS
0.474225801,-0.140228907,GCDH
0.844457474,0.152405421,LSR
1.342111337,-0.392290115,SLC25A10
0.631120211,-0.517340342,PGS1
1.005748428,-0.208323797,DDX5
0.345142691,-0.826190948,KDSR
3.310784182,0.460660299,MRPL48
0.102018183,0.034214656,STRAP
0.7157353,0.235877355,CNBP
2.831653446,-0.763753891,BCKDHA
1.196285216,-0.256867727,SEC61A1
1.836958964,-0.410418193,ALG5
1.419890643,0.227689107,PLOD1
1.506232196,0.522538503,MRPS27
0.376999116,-0.111824671,EIF4B
0.729670059,-0.270135244,SRPK1
0.362662176,-0.273814519,MPDU1
1.898855535,0.273405711,LSM14A
1.064953247,-0.763371785,HACL1
0.023422379,0.019923528,QARS
3.315404094,-0.856342316,ARL1
1.171599822,-0.222284953,SEC13
1.753065795,0.286261876,FOXRED1
0.190455284,0.088666916,PCBP2
1.714564366,0.471297582,HNRNPC
1.067195889,-0.460716883,NUP35
0.45258866,0.083751043,COPB2
0.072493774,-0.028339386,STAM
0.164574327,0.17930158,RALB
0.730980047,-0.431213379,TRAM1
0.732399493,-0.424238205,RAF1
3.213537636,-0.59044838,MST4
0.014480066,0.003985723,SRSF3
1.929720765,-0.854727427,SSR3
2.680084045,1.289876938,STOM
0.657368414,0.197528839,PDIA6
0.544775388,-0.218550364,02-Sep
0.652413913,-0.284779231,RFT1
3.363026936,-0.712907155,RAN
1.386200958,-0.536364873,EIF3C
1.651818059,0.351000468,ATP6AP2
3.367155731,1.309893926,ATP6V1A
0.031328078,0.055910746,WRB
0.046503394,-0.030544281,MFSD8
0.465350017,0.232278824,HNRNPUL1
1.549277893,0.716384888,INPP5K
2.090346005,-0.355932872,RRAS2
1.03320701,0.223566691,ATL2
3.107818014,1.282908122,DHCR24
0.328244148,-0.370166779,DYNC1I2
0.159336605,-0.170219421,SEC24B
0.687776917,0.425891876,SUMO1
0.162014483,0.058293025,PTMA
0.188851428,0.112206141,AGFG1
0.656196524,-0.321374257,ORMDL1
0.753699925,0.260864258,DIAPH1
0.414719932,0.694102605,SSR1
2.158548439,-0.630852381,EEF1E1
1.966894336,-0.484054565,ARF5
0.66044125,0.416343053,APOO
1.619367907,-0.220159531,ALDH5A1
1.018112926,-0.318814596,COX17
1.18388119,0.873255412,SRSF7
2.029788805,-0.687051137,TMUB1
0.032807604,-0.019302368,ACAA1
0.55391196,0.365769704,CYCS
0.264805197,0.090340296,MRPS34
0.882535965,-0.199232737,FARP1
0.380226098,0.312619527,CRTAP
0.038737247,0.013584773,STK11IP
1.532859426,-0.334527334,CHCHD3
1.987540085,-0.7936999,L2HGDH
1.262731831,0.622253418,TMEM106B
0.637961397,0.124029795,CTNND1
0.63706969,-0.305304209,TXNRD2
1.844067874,0.671285629,COX7C
2.391940228,-0.810143153,TMEM33
0.521464169,-0.319993337,MRPL27
0.021139705,0.01750946,11-Sep
0.721942764,-0.509252548,STX18
0.249113559,-0.179957072,COX7A2
1.507687631,-1.184590658,ELOVL5
0.402498911,-0.187047323,PPA2
0.22490029,0.481080373,TACC1
1.317147574,0.664286931,TCEB1
0.586118756,0.37430191,AP3B1
1.87088946,-1.660628001,ARMC1
1.650671712,0.395592372,MRPL13
0.087610252,-0.158650716,SKP1
3.037215961,-0.614823023,RNF5
0.03214306,-0.034905752,SQSTM1
1.820439066,1.188032786,AP3D1
1.556756526,0.686074575,RAI14
1.178465368,-0.528062185,KIAA0319L
2.59706731,0.738836924,HK1
0.575652111,-0.250468572,SEC24C
0.619765358,0.392873128,CD44
0.529756957,-0.293457031,PRRC2C
0.115007614,0.078753789,NDUFV2
2.138512706,-1.014543533,IDH3G
1.924864896,-0.623030345,FAM136A
0.549426824,-0.139769236,ATP2C1
0.535706015,-0.185593287,PSEN1
0.91328738,0.234729767,MRPL22
3.530623903,-0.607155482,NDUFA10
1.006542235,0.377712886,RPS24
0.853531923,-0.486508052,PCCB
1.057966763,0.295387904,MRPL3
0.089681473,-0.0521698,MARK2
2.341636907,0.79649353,GPX8
1.575730148,-0.377339681,ABCD3
0.047807209,0.032786051,EIF4G1
0.358813568,0.185780207,MPP2
0.086195423,0.08961614,MAP4
0.151310305,0.04436175,PSMD2
0.113465998,0.087849935,EXOC6
0.551976388,0.383371353,CALD1
1.761623371,-0.460777283,DCTN1
2.181230733,-0.525551478,NT5DC2
1.682203939,-1.011571884,RAVER1
0.130479374,0.292039871,NACA
1.299935308,-0.381783168,PDHX
0.514772785,-0.099157333,SDHA
0.816434614,-0.557380676,PAICS
0.007903859,-0.007368724,GALNT7
1.137880174,0.265348434,AGK
0.506503749,0.651543299,CCNB1
0.803497523,0.168015162,OGDH
0.372965281,-0.303007762,SMC4
0.330119108,-0.320735296,CCDC18
0.16816446,0.076565425,MYO1B
0.929937703,-0.438749949,DMD
0.732421756,0.411596934,WDR6
1.145578039,-0.543445587,NUP155
0.889779565,0.861929576,HADH
0.498386062,0.189289729,TBL2
1.519167133,-0.817826589,ERGIC3
2.111158792,-0.976373672,PRDX3
0.449147031,-0.075187047,TCOF1
0.481610867,-0.144596736,LANCL1
2.579746723,-0.420018514,EPB41L2
0.819067901,-0.387002309,MTG1
0.206945859,-0.138114293,SPCS2
0.016359365,-0.007261912,TMEM126B
0.194988132,-0.051527659,EEF1D
0.123802097,-0.095189412,BCLAF1
0.945901664,0.223753611,HYOU1
0.672923482,-0.340062459,MTFR1L
0.660792913,0.363904317,C11orf48
0.174661517,-0.328887304,NPEPPS
0.90761973,0.559437434,LAMTOR5
0.288105585,-0.12280337,CD151
0.573247017,0.141178131,RHOC
1.499953579,-0.47322909,NDUFS8
0.057788894,-0.018334707,FAU
0.073217357,-0.025271098,NME4
1.507343875,-0.318047206,TMEM258
0.689869444,-0.32878685,RHBDF1
1.452118191,0.246732712,JUP
1.131887172,0.898963928,CHD4
2.230054098,-0.522627513,PODXL
0.394598353,0.136221568,TMED2
1.288516396,0.266219457,SUCLA2
0.470612184,0.142351786,DAD1
1.268225329,0.895196915,ATP6V0D1
0.16871828,0.013843536,LONP1
1.710502556,0.651013056,NPTN
0.124831474,-0.074774424,PARD3
0.054802276,-0.040521622,DHX36
1.560344933,0.217081706,SLC3A2
0.136169196,-0.069733938,PUS1
0.963429724,0.424520493,GBA
0.052227218,-0.046349208,ANKLE2
0.108609914,0.045917511,VMP1
1.874563662,-0.719198863,DCTN2
0.252672839,0.386557261,EIF3A
0.129319016,-0.156609853,SEC23A
0.639584033,-0.414299647,TSG101
2.153709311,1.04189237,ATP6V0A1
0.466356385,0.277795156,NUP133
2.212733972,0.452964783,GRSF1
0.855340931,-0.404644648,TAP1
0.004281281,-0.004280726,MYO1C
0.451460731,0.388532003,MAGOH
0.762904342,-0.459815343,CDK17
1.119265277,-0.230928421,RPTOR
0.036398128,-0.009723663,TRAP1
0.824264609,0.274124146,IARS2
1.772814075,-0.340767543,PDE12
0.025626067,-0.016506831,CAD
0.323490066,-0.148038228,DDX39B
3.170447626,-1.704797745,RITA
0.15286027,0.079065959,PLXNA1
0.436223466,0.164206823,DENR
1.568854049,-0.484501521,CSRP2
0.017588044,0.01010704,SLC38A1
0.659835327,1.667632421,SMARCC2
1.550955857,0.354028066,PPP1CC
1.988012237,-1.130771001,PRKAG1
0.42157526,-0.24314181,AK2
0.722524689,0.180076599,MYL6
1.923656662,0.42163976,HNRNPA1
1.26143162,-0.386707942,UBAP2L
0.989611273,0.314125061,RPL32
0.486774386,-0.436654409,FAM162A
0.240101161,0.206677755,YTHDF1
0.044658905,0.021238963,MACF1
1.626951698,-0.802160899,TOMM5
0.897751494,-0.486691793,IGF2BP2
1.749213077,1.44878451,STX3
1.739299444,0.688319524,RCN2
0.982121903,-0.428241094,DTNA
