minusLOG10p-value(K84-G123 vs D125A),Difference(K84-G123 vs D125A),Gene names
0.189131672,-0.790854136,ARL1
0.134348484,-0.24161911,PES1
0.228217493,0.423188527,PGK1
3.953149913,5.001444499,TOP1
1.3422911,-1.288614909,ARL2
0.163440578,0.170619965,SEP-2
0.43951285,-0.948320389,MARCH5
0.889465569,0.531066259,SEP-7
0.681485718,0.717674255,SEP-9
0.46864302,0.564311981,SEP-11
0.457525452,-0.355972926,AAAS
0.079508094,0.015153885,AARS2
3.025292947,-0.890473048,AASS
0.410540369,-0.197933197,ABCA3
0.404856252,0.185987473,ABCB10
3.559498727,2.240386327,ABCB7
0.814798762,-0.569006602,ABCC1
0.583236553,0.402031581,ABCC4
2.124541728,-0.210730871,ABCD3
1.492214787,-0.498837153,ABCE1
0.112822319,-0.108980179,ABCF1
0.140155871,0.204470317,ABHD10
0.971036555,-0.732563655,ABI1
0.086734712,0.06025823,ACAA1
0.02738436,0.03920873,ACAA2
0.008732285,-0.038267771,ACAD11
0.556045651,-0.813000361,ACAD9
0.600159392,-0.107385635,ACADM
0.044549432,0.041601181,ACADSB
2.635493138,-0.694021225,ACADVL
0.367354527,-0.222708384,ACAT1
0.122389014,-0.077988942,ACO2
0.008971198,0.008446376,ACOT1
0.072515654,0.083906809,ACOT13
0.674903743,-0.366490046,ACOT8
0.174998201,-0.063773473,ACOT9
0.250425475,0.085533142,ACSF3
0.435301245,-0.174543381,ACSL3
0.491621378,0.687079112,ACSL4
0.695271916,0.225393295,ACSS1
0.065059626,0.034762065,ACTA1
0.545293969,-2.448990504,ACTB
0.231127597,0.074801127,ACTG1
0.197515699,0.2603302,ACTN4
0.5404004,0.192660014,ACTR1A
0.208276149,-0.531078339,ACTR3
1.151826056,-0.351491292,ADCK3
0.665446611,-0.218240738,ADCK4
0.366770845,-0.366600037,ADD1
1.847866239,-0.752543132,ADPGK
0.10174689,-0.02310435,AFG3L2
0.349707384,-0.655834834,AGFG1
1.59469869,-0.628224055,AGK
0.009456346,0.007489522,AGPAT1
0.45284369,1.168001811,AGPAT3
0.056943833,-0.108200709,AGPAT5
0.932273204,-0.727511724,AGPAT6
0.545692925,0.607486089,AGPAT9
0.084998367,-0.060923258,AGPS
3.739768525,4.394908269,AGRN
0.001474758,-0.002003352,AHCY
0.394086916,0.880864461,AHCYL1
0.013867923,-0.013055166,AHNAK
1.544104522,0.412867228,AIFM1
1.137002183,-0.709295909,AIMP1
0.356013691,0.613036474,AIMP2
0.33534972,0.645853678,AK2
0.510852735,1.231117884,AK3
0.170190359,-0.095632553,AK4
0.450352094,-0.549799601,AKAP1
0.051714513,0.15171051,AKAP12
0.038823668,-0.028036118,AKAP9
2.008422963,-0.470293045,ALDH18A1
1.150299171,0.754400889,ALDH1A2
2.462286368,0.638615926,ALDH1B1
2.64269907,0.768748601,ALDH2
0.413248105,0.186397552,ALDH3A2
0.032791952,-0.183848699,ALDH4A1
0.333648601,0.086322784,ALDH5A1
0.550917989,-0.546227137,ALDH6A1
0.4091378,0.307310104,ALDH7A1
0.31739743,0.371431351,ALDH9A1
0.05819058,0.078276952,ALDOA
1.351087584,-0.409638723,ALG1
0.083118376,-0.0351518,ALG3
0.135651103,-0.06939888,ALG5
1.279849865,0.481997808,ALYREF
2.26806481,1.883877436,ANKLE2
0.10939555,0.559030533,ANKRD35
0.040549928,0.154684067,ANO6
2.240753999,-0.827234904,ANXA2
0.067484404,-0.090489705,AP1G1
0.248195061,0.289686839,AP2A1
0.734133602,0.382552465,AP2A2
0.372344704,0.131902059,AP2B1
0.306211964,0.190640767,AP2M1
0.482775633,-0.54431661,AP2S1
0.297676648,0.246519089,AP3B1
0.921491996,0.468264262,AP3D1
0.247891846,0.480559667,AP3S1
0.031660423,-0.034198761,APMAP
0.35302635,-0.486243566,APOB
1.514735122,-0.656062444,APOC3
1.501163934,-0.67249616,APOL2
0.25487455,0.822470983,APOO
0.018118647,-0.019788106,APOOL
0.009878434,-0.012938817,APRT
0.142800847,-0.046156565,ARCN1
1.312835734,-0.55292511,ARF3
2.28115281,-0.326584498,ARF4
2.437551325,-0.762717565,ARF5
1.18047391,-0.646322886,ARF6
0.580916051,-0.277796427,ARFRP1
1.217477098,1.816502253,ARG1
0.144204342,-0.062500636,ARGLU1
0.973868896,-0.265850067,ARHGEF2
0.378095737,0.078044891,ARL13B
0.412912826,-0.343941371,ARL8A
1.376610696,-0.401724497,ARL8B
0.211387378,0.445735931,ARMC1
0.033469458,-0.015930812,ARPC1A
0.953365832,-1.141423543,ART4
0.372679766,0.392618179,ASNS
0.924262804,1.207452774,ASPH
0.337539952,-0.117476781,ATAD1
1.954356728,-0.621306101,ATAD3A
0.430678516,-0.192005793,ATAD3B
0.118113745,0.154230754,ATL2
0.208507847,0.176674525,ATP13A1
0.199494588,0.054250081,ATP1A1
0.186206059,-0.086251577,ATP1B1
0.409589144,-0.306915919,ATP1B3
0.377958571,-0.067035675,ATP2A2
2.519152803,-0.809729258,ATP2B1
0.838863258,-1.729230245,ATP2B4
0.020239703,0.015708288,ATP2C1
2.079916524,-0.228157043,ATP5A1
0.488452336,-0.110169729,ATP5B
2.113307416,-0.367020289,ATP5C1
0.396237983,-0.268093109,ATP5D
0.760034355,-0.240577062,ATP5E
0.469416939,-0.423135122,ATP5F1
0.058454324,0.075931549,ATP5H
0.217123418,-0.273810705,ATP5I
0.577223032,0.638140361,ATP5J
2.565737332,-0.628608068,ATP5J2
0.017259714,0.012613297,ATP5J2-PTCD1
0.042679385,0.049703598,ATP5L
0.185533137,-0.089081446,ATP5O
1.425626773,0.722236633,ATP6AP2
0.576187104,1.014273961,ATP6V0A1
0.060426894,-0.071718216,ATP6V0D1
0.766147178,0.425068537,ATP6V1A
0.119500161,-0.102836609,ATP6V1B2
0.424971097,0.512313843,ATP6V1E1
0.050244183,0.043073018,ATP6V1G1
0.567748184,0.367545446,ATP6V1H
0.018845561,-0.032164892,ATPAF1
0.367788696,0.562557856,ATPIF1
0.356749573,0.30552419,ATXN2L
1.575624489,-0.347872416,AUP1
