minusLOG10p-value(WT vs DK84-G123),Difference(WT vs DK84-G123),Gene names
0.298771297,-0.421657562,PES1
0.309349524,-0.948116938,ARL1
0.1650521,0.356880188,PGK1
3.701557965,5.835819244,TOP1
1.592179265,-1.604430517,ARL2
0.160452584,-0.35637792,SEP-2
0.249486544,-0.796522776,MARCH5
0.58686636,0.435791016,SEP-7
0.06839655,0.107046763,SEP-9
0.081694456,0.149351756,SEP-11
0.040969449,-0.056498845,AAAS
3.573005939,-1.202025731,AARS2
3.304564795,-1.814630508,AASS
0.011737837,0.00766627,ABCA3
0.799255439,-2.250710805,ABCB10
1.17612346,0.327102661,ABCB7
0.477272044,-0.851160685,ABCC1
0.883357904,0.857299169,ABCC4
3.357409133,-0.523834229,ABCD3
2.2257503,-0.813381195,ABCE1
3.248234349,0.655439377,ABCF1
0.17763989,-0.50149854,ABHD10
0.810544836,-0.446280797,ABI1
0.887658908,-0.600917816,ACAA1
0.076343203,-0.187409083,ACAA2
0.043748336,-0.161054611,ACAD11
0.066724429,-0.145573298,ACAD9
0.699725994,-0.476534526,ACADM
0.295186635,-0.362902323,ACADSB
2.999475344,-1.253369013,ACADVL
0.96993494,-0.610321681,ACAT1
0.087055127,-0.079054515,ACO2
0.481842107,-0.601928711,ACOT1
0.00166483,0.002978643,ACOT13
1.715446934,-1.21264712,ACOT8
2.86729131,-0.932518641,ACOT9
3.951276688,-1.587932587,ACSF3
0.068263111,0.079315186,ACSL3
0.173862768,-0.581831614,ACSL4
1.376650219,-0.972593943,ACSS1
0.136445206,0.110417684,ACTA1
0.34858778,-0.272710164,ACTB
3.21085299,0.761872609,ACTG1
0.242543867,0.456220627,ACTN4
0.108618839,-0.107947032,ACTR1A
0.05186712,0.188055038,ACTR3
3.587856595,-1.391114553,ADCK3
1.369770473,-1.293027878,ADCK4
0.093585946,0.14967219,ADD1
0.619479057,-0.685125351,ADPGK
1.616321598,-0.629224777,AFG3L2
0.00363289,0.005610148,AGFG1
1.365831671,-0.746750514,AGK
0.276173822,-0.195158005,AGPAT1
0.248197388,0.684902827,AGPAT3
0.714736996,-1.692000071,AGPAT5
0.39341722,-0.187887192,AGPAT6
0.058770547,0.168586095,AGPAT9
0.118052883,0.154589971,AGPS
3.615512448,4.822398504,AGRN
0.725433815,0.519306183,AHCY
0.097035179,0.338221232,AHCYL1
0.694889237,0.637797038,AHNAK
2.276296453,-0.775490443,AIFM1
1.463644861,-1.468905131,AIMP1
0.353747837,0.614147186,AIMP2
0.248141802,0.701380412,AK2
0.331023743,1.024703344,AK3
0.476990469,-0.267424901,AK4
0.392069234,-0.602363586,AKAP1
0.213242021,0.393221537,AKAP12
0.049898651,-0.200543722,AKAP9
4.787180372,-1.504784902,ALDH18A1
0.62085104,-0.149852753,ALDH1A2
0.780095668,-0.69020017,ALDH1B1
0.857668231,-0.666863124,ALDH2
0.723941188,0.478012085,ALDH3A2
0.214125152,0.751543045,ALDH4A1
1.033420965,-1.295379639,ALDH5A1
0.469216039,-1.558535894,ALDH6A1
0.263417924,-0.648836136,ALDH7A1
0.455095813,-1.523122787,ALDH9A1
0.101005348,-0.223363241,ALDOA
2.632229655,-1.160255432,ALG1
0.277788341,0.083878199,ALG3
1.266197307,-0.423428218,ALG5
0.807911905,0.415012995,ALYREF
2.937044914,2.80738767,ANKLE2
0.279608711,1.20005544,ANKRD35
0.311719857,0.850410461,ANO6
1.08803844,-0.909813563,ANXA2
0.25763011,-0.405716578,AP1G1
0.605532946,0.562409719,AP2A1
0.207006629,-0.638553619,AP2A2
0.665664488,0.343975067,AP2B1
1.705818114,0.353033702,AP2M1
0.078485385,-0.090734482,AP2S1
1.711870898,-1.010354996,AP3B1
1.565382358,-0.847791672,AP3D1
0.524172954,-0.908809026,AP3S1
0.074147475,0.147556941,APMAP
0.041520761,-0.066176097,APOB
1.612006783,-0.756614685,APOC3
0.447921323,-0.507553101,APOL2
0.590004222,1.62530899,APOO
1.932267827,-0.897612254,APOOL
0.302775089,-0.568639755,APRT
1.759179638,-0.534771601,ARCN1
4.537103034,-1.411204656,ARF3
2.729041867,-0.866864522,ARF4
2.986351362,-1.525906881,ARF5
2.293384756,-1.432811737,ARF6
2.496933683,-0.986059189,ARFRP1
0.872463263,1.547173182,ARG1
0.022139409,0.024548848,ARGLU1
1.624895422,-0.53436025,ARHGEF2
2.361192124,-1.089154561,ARL13B
0.431600539,-0.434935252,ARL8A
1.549798386,-0.774918874,ARL8B
0.091937777,0.287356059,ARMC1
0.0843396,-0.076003393,ARPC1A
0.95289377,-0.937736511,ART4
1.243778176,-0.670935949,ASNS
0.315647952,0.594547272,ASPH
1.829772029,-0.565003077,ATAD1
1.944770616,-0.853541692,ATAD3A
0.961890122,-2.268237432,ATAD3B
0.319838593,-0.530457815,ATL2
0.298315162,0.325087865,ATP13A1
0.500240188,-0.395922343,ATP1A1
1.356998427,-0.712344488,ATP1B1
0.224468744,-0.2566878,ATP1B3
3.157591564,-0.491779327,ATP2A2
1.243754439,-0.688387553,ATP2B1
0.314798132,-1.011870066,ATP2B4
0.844799149,-0.939606984,ATP2C1
