minusLOG10p-value(GFP vs WT),Difference(GFP vs WT),Gene names
0.664128992,-1.134157181,SEP-2
0.01485494,0.06072553,MARCH5
0.318443147,-0.313014984,SEP-7
0.963594222,-1.156227748,SEP-9
0.264059693,-0.687084198,SEP-11
0.244080035,-0.29656601,AAAS
1.135521165,0.764792124,AARS2
2.554006873,-1.330481847,AASS
0.087011378,0.080945333,ABCA3
1.112858555,-3.155563354,ABCB10
1.770136446,0.526385625,ABCB7
1.185371015,-2.036111832,ABCC1
0.25843609,-0.289388021,ABCC4
2.636517398,-1.359440486,ABCD3
1.981919331,-0.732834498,ABCE1
1.812672802,0.874783198,ABCF1
0.129345597,0.367474874,ABHD10
0.334701174,-0.40000089,ABI1
1.708748758,-1.088523229,ACAA1
0.249718202,-0.709744136,ACAA2
0.156288124,-0.49487114,ACAD11
0.508675209,-0.866837184,ACAD9
0.054718024,0.060972214,ACADM
1.975771182,-1.880164464,ACADSB
1.711559151,-0.67469724,ACADVL
0.743327778,-0.657426198,ACAT1
0.506905515,0.36954244,ACO2
0.098342333,0.227509181,ACOT1
0.050322148,0.138211568,ACOT13
1.83894138,-1.252788544,ACOT8
4.450059819,-1.476399104,ACOT9
1.215381674,-0.644117355,ACSF3
0.37335296,-0.361062368,ACSL3
0.566471259,-1.626391729,ACSL4
1.877428626,-1.526886622,ACSS1
1.137382036,1.319496155,ACTA1
1.314120379,-0.60951678,ACTB
0.317399049,0.089789073,ACTG1
0.077344329,0.196895599,ACTN4
0.32611123,-0.333413442,ACTR1A
0.31977935,0.893187841,ACTR3
2.345852302,-1.726563772,ADCK3
0.915653188,-0.891817729,ADCK4
0.588323431,-0.643870672,ADD1
0.967472132,-1.059165955,ADPGK
3.144195253,-1.599444707,AFG3L2
0.063880865,-0.111442566,AGFG1
0.075021957,-0.134117762,AGK
2.534944324,-1.01439031,AGPAT1
2.465609151,-1.519384384,AGPAT3
0.636572294,-1.473595937,AGPAT5
0.951879954,-0.637085597,AGPAT6
1.051423248,-2.06413269,AGPAT9
0.801291439,-0.839105606,AGPS
2.889047319,5.175185521,AGRN
0.090951968,0.145453135,AHCY
0.306023348,-0.789130529,AHCYL1
0.007580403,0.009757996,AHNAK
0.767321898,-0.267723083,AIFM1
1.532690477,-1.534223557,AIMP1
0.159481501,0.200490952,AIMP2
0.205693368,-0.677069346,AK2
0.187791008,-0.560469945,AK3
1.417905774,-0.809023539,AK4
0.399571222,-0.604061762,AKAP1
0.952482787,-1.846670787,AKAP12
0.187673487,0.686651866,AKAP9
3.036022498,-1.115487417,ALDH18A1
0.001451353,-0.002089818,ALDH1A2
0.555414606,-0.665358226,ALDH1B1
0.530736568,-0.631930669,ALDH2
0.203256041,-0.223590851,ALDH3A2
0.104185877,0.358487447,ALDH4A1
0.277021224,-0.519735972,ALDH5A1
0.215075417,-0.790165583,ALDH6A1
0.749604364,-1.567300161,ALDH7A1
0.407539477,-1.503266652,ALDH9A1
0.48086442,-1.062241872,ALDOA
1.56864122,-1.336378733,ALG1
4.33536178,-2.287897746,ALG3
0.052546477,-0.146916707,ALG5
0.115261032,0.291235606,ALYREF
3.454498287,2.147559484,ANKLE2
1.2090691,-1.962987264,ANKRD35
0.46893357,-1.096654256,ANO6
0.629099305,-0.592264811,ANXA2
0.573547252,-1.030841827,AP1G1
0.053754184,0.04127566,AP2A1
0.176339592,-0.555205663,AP2A2
0.393308632,0.315608342,AP2B1
1.106766607,0.44372495,AP2M1
0.114928431,0.247687658,AP2S1
2.425227902,-1.366726557,AP3B1
1.564111012,-1.026526769,AP3D1
2.871438446,-1.131860097,AP3S1
0.140062488,-0.389997482,APMAP
0.001664451,-0.003214518,APOB
0.338822997,0.824530284,APOC3
0.428646365,0.510704676,APOL2
0.182228236,-0.578877767,APOO
0.060739311,0.171080271,APOOL
0.616539756,-1.169727325,APRT
2.512175427,-0.721191406,ARCN1
1.206343243,-2.049746831,ARF3
3.574898722,-2.0164903,ARF4
3.661356356,-2.565962474,ARF5
1.448288412,-2.079533895,ARF6
0.453966092,-1.14316686,ARFRP1
0.841010681,-1.473570506,ARG1
0.327286059,0.283412933,ARGLU1
1.291956996,-0.495965958,ARHGEF2
0.385731413,-1.283596039,ARL1.00
3.192464965,-2.20539093,ARL13B
0.356057682,0.405092875,ARL2.00
0.09008324,-0.396119436,ARL8A
3.28925791,-2.060571035,ARL8B
0.200119298,-0.512338638,ARMC1
0.363725698,-0.682206472,ARPC1A
0.023173723,0.029239019,ART4
1.42238283,-0.794125239,ASNS
0.542917034,-1.142943064,ASPH
3.580280041,-1.609463374,ATAD1
1.593644997,-0.937677383,ATAD3A
0.75427809,-2.052504857,ATAD3B
0.333587555,-0.459266663,ATL2
0.029380991,-0.076924006,ATP13A1
1.591959645,-1.187150319,ATP1A1
2.018494899,-1.969242732,ATP1B1
1.917537851,-1.521227519,ATP1B3
2.121278755,-1.246227264,ATP2A2
1.841193503,-1.057224274,ATP2B1
0.569148098,-1.541922887,ATP2B4
0.768890257,-1.41936938,ATP2C1
2.630652139,-1.091039022,ATP5A1
1.217498586,-0.642765045,ATP5B
2.608752594,-1.286689758,ATP5C1
0.73633794,-0.695249557,ATP5D
0.593897353,-0.531659444,ATP5E
0.904039478,-0.971275965,ATP5F1
1.106743205,-0.937554042,ATP5H
0.581760076,0.918371201,ATP5I
0.005345126,-0.016133626,ATP5J
0.192480151,-0.343560537,ATP5J2
0.879940181,-0.472159704,ATP5J2-PTCD1
