minusLOG10p-value(GFP vs triple),Difference(GFP vs triple),Gene names

1.904563413,-0.460233688,ESYT2
1.978045587,-0.455362956,ILVBL
1.303592899,-0.160779317,ACO2
1.604720071,-0.474497477,ADD1
0.103722627,-0.036846161,HLA-C
1.075141434,-0.741538366,NBAS
0.017059641,0.010110855,VWA8
0.819397876,0.144830068,GTPBP10
1.06175324,1.768028895,SUN1
0.719422554,0.158064524,MRPL42
0.22872324,-0.214403152,RPSA
1.693637619,-0.855546951,PIGK
0.576642932,-0.41802597,ABI1
1.003366194,-0.439573924,ATP1B1
0.034947754,-0.029337565,HN1L
0.857619678,-0.26119868,YIF1A
1.088793857,0.676963806,PTGES2
1.014702351,0.300004959,FBLL1
1.971780255,0.786085129,METTL15
0.20446089,0.066050212,MRPL23
1.523275316,0.806252797,NOC3L
0.583579559,-0.206647237,CNIH4
0.514769861,-0.565087001,CD81
0.25640763,-0.115039825,PIP5K1A
0.013218425,0.011351267,SELK
1.386517879,-0.674648285,MLLT4
1.962264307,-1.55027771,CDH2
0.615604459,-0.213958104,MATR3
0.216248269,-0.22502772,NUDT19
0.459475406,0.19414711,BCKDK
0.57387639,-0.222577413,RAB34
0.539374816,-0.140045802,SRRM1
0.381005746,-0.441985448,EIF3L
0.551225755,0.275452932,EWSR1
0.396250638,-0.641162237,APOC3
0.275444513,-0.239789963,HMGCL
1.753623285,-0.887715022,OSBPL9
2.208319327,-0.93376859,TMEM9
1.133640347,-0.730611801,LPHN2
1.055682883,-0.447488149,SOAT1
0.47737908,-0.122350057,EIF3H
0.027605603,0.014486313,SNRPB
1.00664418,0.533836365,PES1
0.203938983,-0.246603012,AP1G1
0.120051375,-0.044763565,CLN6
0.33480571,-0.055384318,LARS
0.324464081,0.109786987,PUM1
1.493336835,-0.385206858,CANX
2.51343959,-1.475458781,CTNNB1
0.672337599,0.581296921,TAMM41
0.671667044,-0.468193054,EXOC7
0.489742126,0.153905233,RAB5A
0.910961097,-0.548391978,FDFT1
0.580597145,0.759501775,ISCA1
0.574011257,0.33900706,SNRPD3
0.217726348,-0.173799515,CS
0.981468324,0.601751328,GCDH
1.118294365,-0.354180654,LSR
0.377275307,0.134323756,SLC25A10
0.151830399,-0.300348282,PGS1
0.174448902,-0.076498667,DDX5
0.756518355,-0.930282593,KDSR
1.160313378,0.291519801,MRPL48
0.208462421,-0.072187424,STRAP
0.698330162,-0.221623103,CNBP
0.753429418,-0.273295085,BCKDHA
0.761067168,-0.196828842,SEC61A1
2.076194413,-0.420445124,ALG5
0.554309871,-0.32709376,PLOD1
1.580392311,0.35613505,MRPS27
1.154473034,0.400571187,EIF4B
0.157530122,-0.083174388,SRPK1
0.010466151,0.006877899,MPDU1
1.540502336,-0.471919378,LSM14A
1.175356626,-0.905685425,HACL1
0.685009599,0.386010488,QARS
0.213832526,0.091425578,ARL1
1.027948388,0.289100011,SEC13
2.433367997,0.66087532,FOXRED1
0.563405153,0.190958023,PCBP2
0.051335281,0.006512324,HNRNPC
0.215982082,-0.112512589,NUP35
