minusLOG10p-value(GFP vs D125A),Difference(GFP vs D125A),Gene names
0.075221097,-0.09604454,PES1
0.260981304,-1.126333237,ARL1
0.755715277,-1.282110214,PGK1
3.600478917,5.499174118,TOP1
0.715492363,0.720908483,ARL2
1.185605423,-0.607159297,SEP-2
0.029335415,-0.091072083,MARCH5
0.238017902,-0.217739741,SEP-7
0.477301854,-0.545600255,SEP-9
0.101202144,-0.272123973,SEP-11
0.784766007,-0.59604009,AAAS
2.521891951,1.981971741,AARS2
1.324119055,-0.406324387,AASS
0.142982009,-0.124654134,ABCA3
0.961403414,-0.718865077,ABCB10
3.686043067,2.439669291,ABCB7
1.93886168,-1.753957748,ABCC1
1.175374919,-0.744655609,ABCC4
2.232418645,-1.046337128,ABCD3
1.203928291,-0.418290456,ABCE1
0.097332903,0.110363642,ABCF1
1.05042428,1.073443731,ABHD10
0.551964835,-0.686283747,ABI1
0.94773415,-0.427347183,ACAA1
0.216497972,-0.483126322,ACAA2
0.096458077,-0.3720843,ACAD11
1.143800534,-1.534264247,ACAD9
0.830419037,0.430121104,ACADM
3.113175342,-1.47566096,ACADSB
0.329458504,-0.115349452,ACADVL
0.289321176,-0.269812902,ACAT1
0.745679371,0.370608012,ACO2
0.527494599,0.837884267,ACOT1
0.092547176,0.219139735,ACOT13
0.84000784,-0.40663147,ACOT8
2.380028319,-0.607653936,ACOT9
1.759795844,1.029348373,ACSF3
1.644787842,-0.614920934,ACSL3
0.223153388,-0.357481003,ACSL4
0.7287752,-0.328899384,ACSS1
1.186109912,1.243840535,ACTA1
0.637601903,-2.785797119,ACTB
1.75628501,-0.59728241,ACTG1
0.00045914,0.001005173,ACTN4
0.04151896,-0.032806396,ACTR1A
0.071351327,0.174054464,ACTR3
1.033155601,-0.686940511,ADCK3
0.41894461,0.182969411,ADCK4
1.764970722,-1.160142899,ADD1
2.157972752,-1.126583735,ADPGK
4.028927529,-0.99332428,AFG3L2
0.383362194,-0.772887548,AGFG1
0.008523447,-0.015591304,AGK
2.756654217,-0.811742783,AGPAT1
1.506110954,-1.0362854,AGPAT3
0.064800903,0.110203425,AGPAT5
1.264941786,-1.176710129,AGPAT6
2.116657992,-1.625232697,AGPAT9
1.771771806,-1.054618835,AGPS
2.836627472,4.747695287,AGRN
0.228933548,-0.3758564,AHCY
0.137713633,-0.2464873,AHCYL1
0.943695314,-0.641094208,AHNAK
2.495468331,0.920634588,AIFM1
1.265574721,-0.774614334,AIMP1
0.161584668,0.199380239,AIMP2
0.297573573,-0.73259608,AK2
0.148237235,-0.354055405,AK3
1.258571802,-0.637231191,AK4
0.462933956,-0.551497777,AKAP1
0.840789472,-2.088181814,AKAP12
